Código Departamento,Nombre Departamento,Código Municipio,Nombre Municipio,Código Zona,Código Puesto,Nombre Puesto,Mesa,Código Comuna,Nombre Comuna,Código Corporación,Nombre Corporación,Código Circunscripción,Nombre Circunscripción,Código CITREP,Nombre CITREP,Código Partido,Nombre Partido,Código Candidato,Nombre Candidato,Total Votos
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0010,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0002,PARTIDO CONSERVADOR COLOMBIANO,102,HUMPHREY ROA SARMIENTO,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0013,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0002,PARTIDO CONSERVADOR COLOMBIANO,102,HUMPHREY ROA SARMIENTO,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0002,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0011,PARTIDO CENTRO DEMOCRÁTICO,105,WILLIAM DONATO GOMEZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0003,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0011,PARTIDO CENTRO DEMOCRÁTICO,105,WILLIAM DONATO GOMEZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0012,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0011,PARTIDO CENTRO DEMOCRÁTICO,105,WILLIAM DONATO GOMEZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0013,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0011,PARTIDO CENTRO DEMOCRÁTICO,105,WILLIAM DONATO GOMEZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0001,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0271,COALICIÓN PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI,103,DIANA CAROLINA SUAREZ MUÑOZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0002,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0271,COALICIÓN PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI,103,DIANA CAROLINA SUAREZ MUÑOZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0004,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0271,COALICIÓN PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI,106,OLGA NATALIE MANRIQUE ABRIL,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0005,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0290,PACTO HISTÓRICO,102,MARYORY CATHERIN ORTIZ ALVAREZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0008,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0290,PACTO HISTÓRICO,102,MARYORY CATHERIN ORTIZ ALVAREZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0009,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0290,PACTO HISTÓRICO,106,CAROLINA DEL PILAR RODRIGUEZ CONTRERAS,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0013,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0290,PACTO HISTÓRICO,102,MARYORY CATHERIN ORTIZ ALVAREZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0001,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0271,COALICIÓN PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI,105,JORGE IVAN AMARILLO GIRALDO,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0002,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0271,COALICIÓN PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI,102,JORGE ARTURO MAYORGA ESGUERRA,1
