"","Cod...1","Departamento","Cod...3","Municipio","Cod...5","Zona","Cod...7","Puesto","Mesa","Cod...10","Tipo de votación","Total"
"188",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",6,2002,"NO",96
"189",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",6,997997,"VOTOS NULOS",3
"190",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",7,1001,"SI",163
"191",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",7,2002,"NO",88
"192",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",7,997997,"VOTOS NULOS",4
"193",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",8,1001,"SI",121
"194",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",8,2002,"NO",113
"195",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",8,997997,"VOTOS NULOS",7
"196",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",8,998998,"VOTOS NO MARCADOS",1
"197",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",9,1001,"SI",155
