MUNNOMBRE;PARNOMBRE;VOTOS
SATIVASUR;Partido Conservador Colombiano;442
SATIVASUR;Partido Liberal Colombiano;311
SATIVASUR;Partido de la U;145
SIACHOQUE;Alianza Social Independiente;690
SIACHOQUE;Alianza Verde;694
SIACHOQUE;Cambio Radical;282
SIACHOQUE;Partido Conservador Colombiano;552
SIACHOQUE;Partido Liberal Colombiano;376
SIACHOQUE;Partido PIN;866
SIACHOQUE;Partido de la U;439
SIACHOQUE;Polo Democrático Alternativo;201
SOATA;Alianza Verde;251
SOATA;Cambio Radical;773
SOATA;Partido Conservador Colombiano;1382
SOATA;Partido Liberal Colombiano;518
SOATA;Partido de la U;1770
SOCHA;Alianza Verde;288
SOCHA;Cambio Radical;418
SOCHA;Partido Conservador Colombiano;1300
SOCHA;Partido Liberal Colombiano;1165
SOCHA;Partido de la U;660
SOCOTA;Alianza Social Independiente;416
SOCOTA;Alianza Verde;550
SOCOTA;Cambio Radical;637
SOCOTA;MOVIMIENTO POLITICO AFROVIDES;370
SOCOTA;Movimiento Politico Afrovides;34
SOCOTA;Partido Conservador Colombiano;118
SOCOTA;Partido Liberal Colombiano;951
SOCOTA;Partido PIN;97
SOCOTA;Partido de la U;424
SOGAMOSO;AICO;2546
SOGAMOSO;Alianza Social Independiente;2763
SOGAMOSO;Alianza Verde;5507
SOGAMOSO;Cambio Radical;4803
SOGAMOSO;MIO;3463
SOGAMOSO;Movimiento MIRA;1105
SOGAMOSO;Partido Liberal Colombiano;9854
SOGAMOSO;Partido PIN;4533
SOGAMOSO;Partido de la U;8487
SOGAMOSO;Polo Democrático Alternativo;649
SOMONDOCO;Alianza Verde;549
SOMONDOCO;Cambio Radical;418
SOMONDOCO;MOVIMIENTO POLITICO AFROVIDES;244
SOMONDOCO;Movimiento Politico Afrovides;24
SOMONDOCO;Partido Conservador Colombiano;548
SOMONDOCO;Partido de la U;166
SORA;Alianza Social Independiente;248
SORA;Alianza Verde;498
SORA;Cambio Radical;217
SORA;Partido PIN;433
SORA;Partido de la U;505
SORACA;Alianza Social Independiente;236
SORACA;Alianza Verde;957
SORACA;Cambio Radical;635
SORACA;Partido Conservador Colombiano;566
SORACA;Partido Liberal Colombiano;535
SORACA;Partido PIN;49
SORACA;Partido de la U;607
SOTAQUIRA;Alianza Social Independiente;36
SOTAQUIRA;Alianza Verde;669
SOTAQUIRA;Cambio Radical;810
SOTAQUIRA;Partido Conservador Colombiano;703
SOTAQUIRA;Partido Liberal Colombiano;339
SOTAQUIRA;Partido PIN;495
SOTAQUIRA;Partido de la U;281
SOTAQUIRA;Polo Democrático Alternativo;26
SUSACON;Alianza Verde;137
SUSACON;Cambio Radical;391
SUSACON;Partido Conservador Colombiano;610
SUSACON;Partido PIN;90
SUSACON;Partido de la U;497
SUTAMARCHAN;Alianza Social Independiente;578
SUTAMARCHAN;Alianza Verde;751
SUTAMARCHAN;Cambio Radical;509
SUTAMARCHAN;MIO;609
SUTAMARCHAN;Partido Conservador Colombiano;150
SUTAMARCHAN;Partido Liberal Colombiano;385
SUTAMARCHAN;Partido de la U;534
SUTATENZA;Alianza Verde;155
SUTATENZA;Cambio Radical;550
SUTATENZA;Partido Conservador Colombiano;870
SUTATENZA;Partido Liberal Colombiano;78
SUTATENZA;Partido PIN;258
SUTATENZA;Partido de la U;278
TASCO;Alianza Verde;472
TASCO;Cambio Radical;355
TASCO;MIO;412
TASCO;Movimiento MIRA;127
TASCO;Partido Liberal Colombiano;779
TASCO;Partido PIN;480
TASCO;Partido de la U;761
TENZA;Alianza Verde;400
TENZA;Partido Conservador Colombiano;999
TENZA;Partido de la U;791
TIBANA;Cambio Radical;1029
TIBANA;Movimiento MIRA;106
TIBANA;Partido Liberal Colombiano;1430
TIBANA;Partido PIN;613
TIBANA;Partido de la U;1086
TIBANA;Polo Democrático Alternativo;74
TIBASOSA;Cambio Radical;1112
TIBASOSA;Partido Conservador Colombiano;1971
TIBASOSA;Partido de la U;1781
TINJACA;Cambio Radical;587
TINJACA;Partido Conservador Colombiano;669
TINJACA;Partido de la U;451
TIPACOQUE;Alianza Social Independiente;155
TIPACOQUE;Alianza Verde;371
TIPACOQUE;Cambio Radical;185
TIPACOQUE;MIO;178
TIPACOQUE;Partido Liberal Colombiano;431
TIPACOQUE;Partido PIN;316
TIPACOQUE;Partido de la U;187
TIPACOQUE;Polo Democrático Alternativo;189
TOCA;Alianza Social Independiente;32
TOCA;Alianza Verde;1088
TOCA;Cambio Radical;1166
TOCA;Partido Liberal Colombiano;959
TOCA;Partido de la U;1145
TOCA;Polo Democrático Alternativo;23
TOGUI;Cambio Radical;224
TOGUI;Partido Conservador Colombiano;921
TOGUI;Partido Liberal Colombiano;718
TOGUI;Partido de la U;553
TOPAGA;Alianza Verde;294
TOPAGA;Cambio Radical;388
TOPAGA;MIO;249
TOPAGA;Partido Conservador Colombiano;587
TOPAGA;Partido de la U;521
TOTA;Alianza Verde;563
TOTA;Cambio Radical;421
TOTA;Partido Conservador Colombiano;587
TOTA;Partido Liberal Colombiano;612
TOTA;Partido de la U;427
TUNJA;Alianza Social Independiente;3018
TUNJA;Alianza Verde;8771
TUNJA;Cambio Radical;7192
TUNJA;Movimiento MIRA;1599
TUNJA;Partido Conservador Colombiano;17515
TUNJA;Partido Liberal Colombiano;8521
TUNJA;Partido PIN;1790
TUNJA;Partido de la U;7934
TUNJA;Polo Democrático Alternativo;2971
TUNUNGUA;Alianza Verde;131
TUNUNGUA;Cambio Radical;110
TUNUNGUA;Partido Liberal Colombiano;310
TUNUNGUA;Partido de la U;277
TURMEQUE;Alianza Social Independiente;143
TURMEQUE;Alianza Verde;557
TURMEQUE;Cambio Radical;410
TURMEQUE;Movimiento MIRA;210
TURMEQUE;Partido Liberal Colombiano;966
TURMEQUE;Partido PIN;536
TURMEQUE;Partido de la U;654
TURMEQUE;Polo Democrático Alternativo;137
TUTA;Alianza Social Independiente;539
TUTA;Alianza Verde;684
TUTA;Cambio Radical;618
TUTA;Partido Conservador Colombiano;1314
TUTA;Partido Liberal Colombiano;1261
TUTA;Partido de la U;345
TUTA;Polo Democrático Alternativo;163
TUTAZA;Alianza Social Independiente;107
TUTAZA;Alianza Verde;183
TUTAZA;Cambio Radical;205
TUTAZA;Partido Conservador Colombiano;207
TUTAZA;Partido Liberal Colombiano;240
TUTAZA;Partido PIN;198
TUTAZA;Partido de la U;223
UMBITA;Alianza Verde;489
UMBITA;Cambio Radical;517
UMBITA;Partido Conservador Colombiano;1565
UMBITA;Partido de la U;968
UMBITA;Polo Democrático Alternativo;387
VENTAQUEMADA;Alianza Verde;686
VENTAQUEMADA;Cambio Radical;264
VENTAQUEMADA;Partido Conservador Colombiano;2364
VENTAQUEMADA;Partido Liberal Colombiano;1663
VENTAQUEMADA;Partido de la U;2030
VILLA DE LEYVA;Alianza Verde;1196
VILLA DE LEYVA;Cambio Radical;1428
VILLA DE LEYVA;Partido Conservador Colombiano;66
VILLA DE LEYVA;Partido Liberal Colombiano;1525
VILLA DE LEYVA;Partido de la U;1971
VIRACACHA;Alianza Verde;476
VIRACACHA;Cambio Radical;87
VIRACACHA;Partido Conservador Colombiano;532
VIRACACHA;Partido Liberal Colombiano;436
VIRACACHA;Partido de la U;338
ZETAQUIRA;Alianza Verde;338
ZETAQUIRA;Cambio Radical;599
ZETAQUIRA;Partido Liberal Colombiano;680
ZETAQUIRA;Partido de la U;1121
