MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
AQUITANIA (PUEBLOVIEJO);ELKIN JAVIER MUNEVAR PEREZ;PARTIDO CONSERVADOR COLOMBIANO;10,AQUITANIA (PUEBLOVIEJO);ELKIN JAVIER MUNEVAR PEREZ;PARTIDO CONSERVADOR COLOMBIANO;10,0.0,0.0
"AQUITANIA (PUEBLOVIEJO);ELKIN YAMID RIOS TRUJILLO;""PARTIDO ALIANZA SOCIAL INDEPENDIENTE """"ASI"""""";190","AQUITANIA (PUEBLOVIEJO);ELKIN YAMID RIOS TRUJILLO;""PARTIDO ALIANZA SOCIAL INDEPENDIENTE """"ASI"""""";190",0.0,0.0
"AQUITANIA (PUEBLOVIEJO);ERIKA DANIELA CHAPARRO ALVARADO;""PARTIDO ALIANZA SOCIAL INDEPENDIENTE """"ASI"""""";88","AQUITANIA (PUEBLOVIEJO);ERIKA DANIELA CHAPARRO ALVARADO;""PARTIDO ALIANZA SOCIAL INDEPENDIENTE """"ASI"""""";88",0.0,0.0
"AQUITANIA (PUEBLOVIEJO);EVER ALVARADO LEMUS;""MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL """"MAIS"""""";155","AQUITANIA (PUEBLOVIEJO);EVER ALVARADO LEMUS;""MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL """"MAIS"""""";155",0.0,0.0
AQUITANIA (PUEBLOVIEJO);FABIAN ANDRES RAMIREZ PEREZ;PARTIDO CENTRO DEMOCRATICO;207,AQUITANIA (PUEBLOVIEJO);FABIAN ANDRES RAMIREZ PEREZ;PARTIDO CENTRO DEMOCRÁTICO;207,0.0,0.0
AQUITANIA (PUEBLOVIEJO);FABIO ORLANDO CEPEDA AGUIRRE;PARTIDO ALIANZA VERDE;273,AQUITANIA (PUEBLOVIEJO);FABIO ORLANDO CEPEDA AGUIRRE;PARTIDO ALIANZA VERDE;273,0.0,0.0
AQUITANIA (PUEBLOVIEJO);FREDY ALONSO RICO MARTINEZ;PARTIDO CENTRO DEMOCRATICO;204,AQUITANIA (PUEBLOVIEJO);FREDY ALONSO RICO MARTINEZ;PARTIDO CENTRO DEMOCRÁTICO;204,0.0,0.0
AQUITANIA (PUEBLOVIEJO);FREDY DAVID CEPEDA MESA;PARTIDO CENTRO DEMOCRATICO;27,AQUITANIA (PUEBLOVIEJO);FREDY DAVID CEPEDA MESA;PARTIDO CENTRO DEMOCRÁTICO;27,0.0,0.0
"AQUITANIA (PUEBLOVIEJO);GERMAN AUGUSTO BELLO;""PARTIDO ALIANZA SOCIAL INDEPENDIENTE """"ASI"""""";38","AQUITANIA (PUEBLOVIEJO);GERMAN AUGUSTO BELLO;""PARTIDO ALIANZA SOCIAL INDEPENDIENTE """"ASI"""""";38",0.0,0.0
AQUITANIA (PUEBLOVIEJO);GINA PAOLA SALCEDO MONTANA;PARTIDO DE LA UNION POR LA GENTE - PARTIDO DE LA U;95,AQUITANIA (PUEBLOVIEJO);GINA PAOLA SALCEDO MONTAÑA;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;95,0.0,0.0
