MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
AQUITANIA (PUEBLOVIEJO);HUMPHREY ROA SARMIENTO;PARTIDO CONSERVADOR COLOMBIANO;160,AQUITANIA (PUEBLOVIEJO);HUMPHREY ROA SARMIENTO;PARTIDO CONSERVADOR COLOMBIANO;160,0.0,0.0
AQUITANIA (PUEBLOVIEJO);INGRID MARLEN SOGAMOSO ALFONSO;PARTIDO CONSERVADOR COLOMBIANO;85,AQUITANIA (PUEBLOVIEJO);INGRID MARLEN SOGAMOSO ALFONSO;PARTIDO CONSERVADOR COLOMBIANO;85,0.0,0.0
AQUITANIA (PUEBLOVIEJO);JAIME AGUILAR DOMINGUEZ;CONSEJO COMUNITARIO DE LOS CORREGIMIENTOS DE SAN ANTONIO Y EL CASTILLO MUNICIPIO DE EL CERRITO;2,AQUITANIA (PUEBLOVIEJO);JAIME AGUILAR DOMINGUEZ;CONSEJO COMUNITARIO DE LOS CORREGIMIENTOS DE SAN ANTONIO Y EL CASTILLO MUNICIPIO DE EL CERRITO;2,0.0,0.0
AQUITANIA (PUEBLOVIEJO);JAIME RAUL SALAMANCA TORRES;PARTIDO ALIANZA VERDE;226,AQUITANIA (PUEBLOVIEJO);JAIME RAUL SALAMANCA TORRES;PARTIDO ALIANZA VERDE;226,0.0,0.0
AQUITANIA (PUEBLOVIEJO);JAIRO ENRIQUE CASTIBLANCO PARRA;COALICION PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;80,Colombia Justa Libres,0.0,0.0
AQUITANIA (PUEBLOVIEJO);JONATAN SANCHEZ GARAVITO;PARTIDO CAMBIO RADICAL;46,AQUITANIA (PUEBLOVIEJO);JONATAN SANCHEZ GARAVITO;PARTIDO CAMBIO RADICAL;46,0.0,0.0
AQUITANIA (PUEBLOVIEJO);JORGE ARTURO MAYORGA ESGUERRA;COALICION PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;47,Colombia Justa Libres,0.0,0.0
AQUITANIA (PUEBLOVIEJO);JORGE ELIECER CORTES MARTINEZ;PARTIDO LIBERAL COLOMBIANO;24,AQUITANIA (PUEBLOVIEJO);JORGE ELIECER CORTES MARTINEZ;PARTIDO LIBERAL COLOMBIANO;24,0.0,0.0
AQUITANIA (PUEBLOVIEJO);JORGE IVAN AMARILLO GIRALDO;COALICION PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;6,Colombia Justa Libres,0.0,0.0
AQUITANIA (PUEBLOVIEJO);JOSE DARIO MAHECHA CASTILLO;PARTIDO CONSERVADOR COLOMBIANO;41,AQUITANIA (PUEBLOVIEJO);JOSE DARIO MAHECHA CASTILLO;PARTIDO CONSERVADOR COLOMBIANO;41,0.0,0.0
AQUITANIA (PUEBLOVIEJO);JOSE FERNANDO MORALES ACUNA;PARTIDO CONSERVADOR COLOMBIANO;25,AQUITANIA (PUEBLOVIEJO);JOSE FERNANDO MORALES ACUÑA;PARTIDO CONSERVADOR COLOMBIANO;25,0.0,0.0
