MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
PAIPA;MARTHA PATRICIA AVELLA AVELLA;PARTIDO CONSERVADOR COLOMBIANO;37,PAIPA;MARTHA PATRICIA AVELLA AVELLA;PARTIDO CONSERVADOR COLOMBIANO;37,0.0,0.0
PAIPA;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;2,PAIPA;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;2,0.0,0.0
PAIPA;PARTIDO ALIANZA VERDE;PARTIDO ALIANZA VERDE;6,PAIPA;PARTIDO ALIANZA VERDE;PARTIDO ALIANZA VERDE;6,0.0,0.0
PAIPA;PARTIDO CENTRO DEMOCRATICO;PARTIDO CENTRO DEMOCRATICO;9,PAIPA;PARTIDO CENTRO DEMOCRATICO;PARTIDO CENTRO DEMOCRATICO;9,0.0,0.0
PAIPA;PARTIDO CONSERVADOR COLOMBIANO;PARTIDO CONSERVADOR COLOMBIANO;14,PAIPA;PARTIDO CONSERVADOR COLOMBIANO;PARTIDO CONSERVADOR COLOMBIANO;14,0.0,0.0
PAIPA;REINEL ANTONIO NINO VEGA;PARTIDO CENTRO DEMOCRATICO;46,PAIPA;REINEL ANTONIO NIÑO VEGA;PARTIDO CENTRO DEMOCRATICO;46,0.0,0.0
PAIPA;WILINTON BENAVIDES PAMPLONA;PARTIDO ALIANZA VERDE;18,PAIPA;WILINTON BENAVIDES PAMPLONA;PARTIDO ALIANZA VERDE;18,0.0,0.0
PAIPA;YAQUELINE MEDINA CHACON;PARTIDO ALIANZA VERDE;6,PAIPA;YAQUELINE MEDINA CHACON;PARTIDO ALIANZA VERDE;6,0.0,0.0
PUERTO BOYACA;ALDEMAR RUA TORRES;PARTIDO ALIANZA VERDE;21,PUERTO BOYACA;ALDEMAR RUA TORRES;PARTIDO ALIANZA VERDE;21,0.0,0.0
PUERTO BOYACA;ARMANDO SIERVO GARAVITO;PARTIDO CENTRO DEMOCRATICO;4,PUERTO BOYACA;ARMANDO SIERVO GARAVITO;PARTIDO CENTRO DEMOCRATICO;4,0.0,0.0
PUERTO BOYACA;ASTRID CAROLINA MARTINEZ BEJARANO;PARTIDO ALIANZA VERDE;32,PUERTO BOYACA;ASTRID CAROLINA MARTINEZ BEJARANO;PARTIDO ALIANZA VERDE;32,0.0,0.0
PUERTO BOYACA;BREYNER VILLADA AYALA;PARTIDO ALIANZA VERDE;145,PUERTO BOYACA;BREYNER VILLADA AYALA;PARTIDO ALIANZA VERDE;145,0.0,0.0
PUERTO BOYACA;CARLOS JULIO RAMIREZ QUINTERO;PARTIDO ALIANZA VERDE;4,PUERTO BOYACA;CARLOS JULIO RAMIREZ QUINTERO;PARTIDO ALIANZA VERDE;4,0.0,0.0
PUERTO BOYACA;DANILO BUSTOS;PARTIDO ALIANZA VERDE;38,PUERTO BOYACA;DANILO BUSTOS;PARTIDO ALIANZA VERDE;38,0.0,0.0
PUERTO BOYACA;DEISY MARIA DELGADO DE PEREIRA;PARTIDO ALIANZA VERDE;15,PUERTO BOYACA;DEISY MARIA DELGADO DE PEREIRA;PARTIDO ALIANZA VERDE;15,0.0,0.0
PUERTO BOYACA;DELFIN SERNA DIAZ;PARTIDO LIBERAL COLOMBIANO;43,PUERTO BOYACA;DELFIN SERNA DIAZ;PARTIDO LIBERAL COLOMBIANO;43,0.0,0.0
PUERTO BOYACA;DEYANIRA TRUJILLO RUA;PARTIDO CENTRO DEMOCRATICO;20,PUERTO BOYACA;DEYANIRA TRUJILLO RUA;PARTIDO CENTRO DEMOCRATICO;20,0.0,0.0
PUERTO BOYACA;DIANA MARITZA HOYOS TEJEDOR;PARTIDO LIBERAL COLOMBIANO;75,PUERTO BOYACA;DIANA MARITZA HOYOS TEJEDOR;PARTIDO LIBERAL COLOMBIANO;75,0.0,0.0
PUERTO BOYACA;DIEGO FERNANDO SALCEDO TREJOS;PARTIDO ALIANZA VERDE;17,PUERTO BOYACA;DIEGO FERNANDO SALCEDO TREJOS;PARTIDO ALIANZA VERDE;17,0.0,0.0
PUERTO BOYACA;DISNEY CHICA BEDOYA;PARTIDO CENTRO DEMOCRATICO;11,PUERTO BOYACA;DISNEY CHICA BEDOYA;PARTIDO CENTRO DEMOCRATICO;11,0.0,0.0
PUERTO BOYACA;DORALBA GARCIA GONZALEZ;PARTIDO ALIANZA VERDE;59,PUERTO BOYACA;DORALBA GARCIA GONZALEZ;PARTIDO ALIANZA VERDE;59,0.0,0.0
PUERTO BOYACA;EDGAR JAVIER URQUIJO BELTRAN;PARTIDO ALIANZA VERDE;58,PUERTO BOYACA;EDGAR JAVIER URQUIJO BELTRAN;PARTIDO ALIANZA VERDE;58,0.0,0.0
PUERTO BOYACA;EDWIN DE JESUS SERNA SEPULVEDA;PARTIDO ALIANZA VERDE;44,PUERTO BOYACA;EDWIN DE JESUS SERNA SEPULVEDA;PARTIDO ALIANZA VERDE;44,0.0,0.0
PUERTO BOYACA;EMILES ALBERTO ALVAREZ MENCO;PARTIDO LIBERAL COLOMBIANO;302,PUERTO BOYACA;EMILES ALBERTO ALVAREZ MENCO;PARTIDO LIBERAL COLOMBIANO;302,0.0,0.0
PUERTO BOYACA;FERNANDO RAMIREZ CARDENAS;PARTIDO ALIANZA VERDE;16,PUERTO BOYACA;FERNANDO RAMIREZ CARDENAS;PARTIDO ALIANZA VERDE;16,0.0,0.0
PUERTO BOYACA;GERARDO ANTONIO QUINTERO JARAMILLO;PARTIDO ALIANZA VERDE;20,PUERTO BOYACA;GERARDO ANTONIO QUINTERO JARAMILLO;PARTIDO ALIANZA VERDE;20,0.0,0.0
