MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
AQUITANIA (PUEBLOVIEJO);ADRIANA CONSTANZA FAJARDO AGUIRRE;PARTIDO LIBERAL COLOMBIANO;14,AQUITANIA (PUEBLOVIEJO);ADRIANA CONSTANZA FAJARDO AGUIRRE;PARTIDO LIBERAL COLOMBIANO;14,0.0,0.0
AQUITANIA (PUEBLOVIEJO);ALBA LUZ BECERRA BECERRA;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;12,AQUITANIA (PUEBLOVIEJO);ALBA LUZ BECERRA BECERRA;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;12,0.0,0.0
AQUITANIA (PUEBLOVIEJO);ANDERSON JOAQUIN SANCHEZ RUIZ;PARTIDO LIBERAL COLOMBIANO;6,AQUITANIA (PUEBLOVIEJO);ANDERSON JOAQUIN SANCHEZ RUIZ;PARTIDO LIBERAL COLOMBIANO;6,0.0,0.0
AQUITANIA (PUEBLOVIEJO);ANGELA PATRICIA AVILA HAMON;PARTIDO ALIANZA VERDE;173,AQUITANIA (PUEBLOVIEJO);ANGELA PATRICIA AVILA HAMON;PARTIDO ALIANZA VERDE;173,0.0,0.0
AQUITANIA (PUEBLOVIEJO);ARMANDO BUITRAGO ACEVEDO;BOYACA POTENCIA DE VIDA;2,AQUITANIA (PUEBLOVIEJO);ARMANDO BUITRAGO ACEVEDO;BOYACÁ POTENCIA DE VIDA;2,0.0,0.0
AQUITANIA (PUEBLOVIEJO);BLADIMIR RODRIGUEZ HERNANDEZ;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLITICO MIRA;26,AQUITANIA (PUEBLOVIEJO);BLADIMIR RODRIGUEZ HERNANDEZ;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLÍTICO MIRA;26,0.0,0.0
AQUITANIA (PUEBLOVIEJO);BLANCA ELIZABETH TORRES CORREDOR;PARTIDO LIBERAL COLOMBIANO;4,AQUITANIA (PUEBLOVIEJO);BLANCA ELIZABETH TORRES CORREDOR;PARTIDO LIBERAL COLOMBIANO;4,0.0,0.0
AQUITANIA (PUEBLOVIEJO);BOYACA POTENCIA DE VIDA;BOYACA POTENCIA DE VIDA;3,AQUITANIA (PUEBLOVIEJO);BOYACÁ POTENCIA DE VIDA;BOYACÁ POTENCIA DE VIDA;3,0.0,0.0
AQUITANIA (PUEBLOVIEJO);BRAYAN DARBEY GONZALEZ GONZALEZ;PARTIDO CENTRO DEMOCRATICO;3,AQUITANIA (PUEBLOVIEJO);BRAYAN DARBEY GONZALEZ GONZALEZ;PARTIDO CENTRO DEMOCRÁTICO;3,0.0,0.0
AQUITANIA (PUEBLOVIEJO);CAMILO FERNANDO CAICEDO FONSECA;PARTIDO LIBERAL COLOMBIANO;12,AQUITANIA (PUEBLOVIEJO);CAMILO FERNANDO CAICEDO FONSECA;PARTIDO LIBERAL COLOMBIANO;12,0.0,0.0
AQUITANIA (PUEBLOVIEJO);CARLOS ALBERTO MOLINA CASTANEDA;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;58,AQUITANIA (PUEBLOVIEJO);CARLOS ALBERTO MOLINA CASTAÑEDA;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;58,0.0,0.0
AQUITANIA (PUEBLOVIEJO);CARLOS EDUARDO VEGA ALVAREZ;BOYACA POTENCIA DE VIDA;5,AQUITANIA (PUEBLOVIEJO);CARLOS EDUARDO VEGA ALVAREZ;BOYACÁ POTENCIA DE VIDA;5,0.0,0.0
AQUITANIA (PUEBLOVIEJO);CARLOS ERNESTO TORRES AGUIRRE;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;4391,AQUITANIA (PUEBLOVIEJO);CARLOS ERNESTO TORRES AGUIRRE;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;4391,0.0,0.0
AQUITANIA (PUEBLOVIEJO);CATHERINE DANIELA ROBLES ALBA;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;3,AQUITANIA (PUEBLOVIEJO);CATHERINE DANIELA ROBLES ALBA;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;3,0.0,0.0
AQUITANIA (PUEBLOVIEJO);CHRISTIAN GABRIEL ALBARRACIN VASQUEZ;PARTIDO LIBERAL COLOMBIANO;4,AQUITANIA (PUEBLOVIEJO);CHRISTIAN GABRIEL ALBARRACIN VASQUEZ;PARTIDO LIBERAL COLOMBIANO;4,0.0,0.0
