MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
MOTAVITA;Alberto Cetina Barajas;PARTIDO ALIANZA VERDE;522
MOTAVITA;Fabian Dario Diaz Pulido;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;467
MOTAVITA;Alveiro Malaver Echeverria;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;333
MUZO;Neicer Albeiro Susa Sotelo;PARTIDO CONSERVADOR COLOMBIANO - CAMBIO RADICAL - POLO DEMOCRATICO - PARTIDO DE LA U;2773
MUZO;Ruby Mery Murillo Navarro;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;1969
MUZO;Hugo Edubin Garzon Gomez;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;155
NOBSA;Alfredo Hernando Niño Sierra;NOBSA UNIDA;4973
NOBSA;Helver Ricardo Granados Guauque;COMPROMISO NOBLE POR TRABAJO Y BIENESTAR PARA TODOS;2509
NOBSA;Juan Camilo Caceres Moreno;COALICION POR LA JUSTICIA Y LA DEMOCRACIA;1677
NOBSA;Jairo Edilberto Torres Tobo;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;569
NOBSA;Alvaro Enrique Acevedo Monroy;PARTIDO POLO DEMOCRATICO ALTERNATIVO;37
NUEVO COLON;Hector Wilson Castelblanco Rodriguez;PARTIDO ALIANZA VERDE;1392
NUEVO COLON;Willinton Eduardo Pulido Ibañez;TODOS UNIDOS POR NUEVO COLON;1327
NUEVO COLON;Juan Eliseo Cruz Garcia;CREEMOS EN LA GENTE NUEVO COLON CON LIDERAZGO;860
OICATA;Fredy Alexander Garzon Rojas;OICATA CRECE EN BUENAS MANOS;913
OICATA;Silvestre Garcia Cruz;OICATA CON DESARROLLO;655
OICATA;Nendy Jose Fagua Caina;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;320
OICATA;German Javier Riaño Ocasion;PARTIDO COLOMBIA RENACIENTE;144
OICATA;Nubia Esperanza Amezquita Quinchanegua;PARTIDO CONSERVADOR COLOMBIANO;93
OICATA;Angel Marino Lancheros Ramirez;PARTIDO ADA;35
OTANCHE;Evelio Puentes Rocha;PARTIDO ALIANZA VERDE;1683
OTANCHE;Wiliar Peña Suaterna;YO CREO EN OTANCHE;1584
OTANCHE;Alvaro Forero Galindo;PARTIDO CONSERVADOR COLOMBIANO  - CAMBIO RADICAL;1222
PACHAVITA;Jose Fernando Roa Orjuela;UNIDOS POR NUESTRA TIERRA;896
PACHAVITA;Fabio Ernesto Huertas Leguizamon;PARTIDO CONSERVADOR COLOMBIANO;539
PACHAVITA;Jose Vicente Rojas Diaz;PARTIDO ADA;52
PAEZ;Juan Diego Morales Calderon;ALCALDIA DE PAEZ;1086
PAEZ;Jose Gilberto Buitrago Barreto;PARTIDO CENTRO DEMOCRATICO;937
PAIPA;Fabio Alberto Medrano Reyes;EN PAIPA SOLO FALTA SUMERCE;9317
PAIPA;Jose Mario Daza Higuera;PAIPA IDEAL;8100
PAIPA;Ismael Maria Sandoval Rodriguez;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;1079
PAIPA;Jose Ramiro Sierra Alvarado;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;325
PAIPA;Ingrid Margarita Galan Diaz;PAIPA HUMANO;51
PAJARITO;Jesus Noe Riveros Lopez;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;693
PAJARITO;Rene Gustavo Tejedor Lopez;PARTIDO LIBERAL COLOMBIANO;490
PAJARITO;Yefer Miranda Plazas;PARTIDO CENTRO DEMOCRATICO;145
PAJARITO;Guillermo Monroy Sanchez;PARTIDO CAMBIO RADICAL;82
PANQUEBA;Jorge Mario Ibañez Arango;UNA NUEVA ESPERANZA PARA UN MUNICIPIO PROSPERO;779
PANQUEBA;Nancy Milena Velandia Leal;PARTIDO ALIANZA VERDE;418
PAUNA;Henry Ivan Matallana Torres;PARTIDO CENTRO DEMOCRATICO;2580
PAUNA;Omar Casallas Sanchez;ALCALDIA DE PAUNA BOYACA;1733
PAUNA;Martin Emilio Urbano Barrera;PARTIDO CONSERVADOR COLOMBIANO;225
PAYA;Benjamin Perez Cristancho;CONSTRUYENDO EL PAYA QUE TODOS QUEREMOS;826
PAYA;Gilberto Daza Cardona;"""PAYA PRODUCTIVA Y SOSTENIBLE""";464
PAYA;Zuly Johana Cristancho Bautista;PARTIDO CONSERVADOR COLOMBIANO;25
PAZ DE RIO;Edward Edixon Archila Gonzalez;PAZ DE RIO AVANZA;1466
PAZ DE RIO;Ezequiel Jimenez Cely;PARTIDO CAMBIO RADICAL;1444
PESCA;Manuel Alejandro Tambo Rodriguez;UNIDOS POR EL DESARROLLO DE PESCA;1363
PESCA;Nancy Mariela Ruiz Barrera;PARTIDO CONSERVADOR COLOMBIANO - CENTRO DEMOCRATICO - AICO;1089
PESCA;Edgar Ricardo Gamez Amaya;PARTIDO CAMBIO RADICAL;1080
PESCA;Luis Eduardo Maldonado Barrera;UNIDOS CONSTRUYAMOS EL DESARROLLO DE PESCA;716
PESCA;Alexander Herrera Rodriguez;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;299
PISBA;Wilton Giovani Ruiz Correa;UNIDOS CONSTRUIMOS DESARROLLO SOCIAL;501
PISBA;Manuela Pidiache Ruiz;UNIDOS COSECHANDO FUTURO;408
PISBA;Jairo Eduardo Gomez Zambrano;PARTIDO CONSERVADOR COLOMBIANO;23
PISBA;Gildardo Maldonado Pinzon;GESTION Y OPORTUNIDADES PARA TODO;5
PUERTO BOYACA;Jicly Esgardo Mutis Isaza;PUERTO BOYACA PRIMERO;9308
PUERTO BOYACA;Cesar Augusto Poveda Rojas;LA VOZ DE UN PUEBLO;8077
PUERTO BOYACA;Monica Janeth Perez Ruiz;MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA AICO;2627
PUERTO BOYACA;Hector Eduardo Lesmes Martinez;PARTIDO CENTRO DEMOCRATICO;1616
PUERTO BOYACA;Barbara Machado Nagles;PARTIDO RENACIENTE Y ADA;457
PUERTO BOYACA;Manuel Adan Grisales Serna;COALICION PUERTO BOYACA;230
PUERTO BOYACA;Juan De Jesus Moreno Jaramillo;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;150
QUIPAMA;Carlos Alberto Avila Cepeda;MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA AICO;1375
QUIPAMA;Felix Alejandro Gutierrez Vega;LA EVOLUCION DE NUESTRA TIERRA;918
QUIPAMA;Edgar Hernan Moron Triana;PARTIDO ALIANZA VERDE;596
QUIPAMA;Ofelia Miranda Beltran;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;424
RAMIRIQUI;Jose Moises Aguirre Sanabria;PARTIDO LIBERAL COLOMBIANO;3771
RAMIRIQUI;Camilo Andres Avila Marquez;PARTIDO CONSERVADOR COLOMBIANO - CAMBIO RADICAL;2402
RAMIRIQUI;Jose Ignacio Bautista Arias;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;31
RAQUIRA;Jose Hernan Sierra Buitrago;PARTIDO CENTRO DEMOCRATICO;1912
