MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
CERINZA;VOTOS NO MARCADOS;CANDIDATOS TOTALES;3,CERINZA;VOTOS NO MARCADOS;CANDIDATOS TOTALES;3,0.0,0.0
CERINZA;VOTOS NULOS;CANDIDATOS TOTALES;29,CERINZA;VOTOS NULOS;CANDIDATOS TOTALES;29,0.0,0.0
CHINAVITA;DAGOBERTO PABON PORRAS;PARTIDO ALIANZA VERDE;877,CHINAVITA;DAGOBERTO PABON PORRAS;PARTIDO ALIANZA VERDE;877,0.0,0.0
CHINAVITA;RAUL ANTONIO CUBIDES RAMIREZ;PARTIDO DE LA UNION POR LA GENTE - PARTIDO DE LA U;1319,CHINAVITA;RAUL ANTONIO CUBIDES RAMIREZ;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;1319,0.0,0.0
CHINAVITA;VOTOS EN BLANCO;CANDIDATOS TOTALES;17,CHINAVITA;VOTOS EN BLANCO;CANDIDATOS TOTALES;17,0.0,0.0
CHINAVITA;VOTOS NO MARCADOS;CANDIDATOS TOTALES;22,CHINAVITA;VOTOS NO MARCADOS;CANDIDATOS TOTALES;22,0.0,0.0
CHINAVITA;VOTOS NULOS;CANDIDATOS TOTALES;15,CHINAVITA;VOTOS NULOS;CANDIDATOS TOTALES;15,0.0,0.0
CHIQUINQUIRA;ALINXON ANDREY SIERRA LAITON;PARTIDO POLITICO DIGNIDAD & COMPROMISO;674,CHIQUINQUIRA;ALINXON ANDREY SIERRA LAITON;PARTIDO POLÍTICO DIGNIDAD & COMPROMISO;674,0.0,0.0
CHIQUINQUIRA;CARLOS ANDRES SERRANO PAEZ;MOVIMIENTO SALVACION NACIONAL;74,CHIQUINQUIRA;CARLOS ANDRES SERRANO PAEZ;MOVIMIENTO SALVACIÓN NACIONAL;74,0.0,0.0
CHIQUINQUIRA;CARLOS EDUARDO AGUILERA BUITRAGO;PARTIDO ECOLOGISTA COLOMBIANO;37,CHIQUINQUIRA;CARLOS EDUARDO AGUILERA BUITRAGO;PARTIDO ECOLOGISTA COLOMBIANO;37,0.0,0.0
CHIQUINQUIRA;DANIEL ALBERTO SANCHEZ RIVERA;AGRUPACION POLITICA EN MARCHA;5340,CHIQUINQUIRA;DANIEL ALBERTO SANCHEZ RIVERA;AGRUPACIÓN POLÍTICA EN MARCHA;5340,0.0,0.0
CHIQUINQUIRA;JEFFERSON LEONARDO CARO CASAS;QUEREMOS EL CAMBIO CHIQUINQUIRA;11557,CHIQUINQUIRA;JEFFERSON LEONARDO CARO CASAS;QUEREMOS EL CAMBIO CHIQUINQUIRA;11557,0.0,0.0
CHIQUINQUIRA;JESUS ANTONIO CASTILLO RONCANCIO;PARTIDO NUEVO LIBERALISMO;91,CHIQUINQUIRA;JESUS ANTONIO CASTILLO RONCANCIO;PARTIDO NUEVO LIBERALISMO;91,0.0,0.0
CHIQUINQUIRA;JOSE ROGELIO GARCIA ORTEGON;PARTIDO POLITICO CREEMOS;423,CHIQUINQUIRA;JOSE ROGELIO GARCIA ORTEGON;PARTIDO POLÍTICO CREEMOS;423,0.0,0.0
CHIQUINQUIRA;JUAN SEBASTIAN JIMENEZ JIMENEZ;SOMOS CHIQUINQUIRA;3212,CHIQUINQUIRA;JUAN SEBASTIAN JIMENEZ JIMENEZ;SOMOS CHIQUINQUIRA;3212,0.0,0.0
CHIQUINQUIRA;LUDWIN ALEXANDER SANCHEZ VARGAS;NUEVA FUERZA DEMOCRATICA;125,CHIQUINQUIRA;LUDWIN ALEXANDER SANCHEZ VARGAS;NUEVA FUERZA DEMOCRÁTICA;125,0.0,0.0
CHIQUINQUIRA;LUIS EDUARDO GARCIA CARRILLO;INDEPENDIENTES;1039,CHIQUINQUIRA;LUIS EDUARDO GARCIA CARRILLO;INDEPENDIENTES;1039,0.0,0.0
"CHIQUINQUIRA;LUIS ENRIQUE REINA SALINAS;""MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA """"AICO"""""";172","CHIQUINQUIRA;LUIS ENRIQUE REINA SALINAS;""MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA """"AICO"""""";172",0.0,0.0
CHIQUINQUIRA;MILTON EDUARDO PENA CANON;PARTIDO CONSERVADOR COLOMBIANO;242,CHIQUINQUIRA;MILTON EDUARDO PEÑA CAÑON;PARTIDO CONSERVADOR COLOMBIANO;242,0.0,0.0
CHIQUINQUIRA;ORLANDO FORERO ORTIZ;MOVIMIENTO POLITICO FUERZA CIUDADANA;92,CHIQUINQUIRA;ORLANDO FORERO ORTIZ;MOVIMIENTO POLITICO FUERZA CIUDADANA;92,0.0,0.0
CHIQUINQUIRA;PAOLA JOHANNA HERNANDEZ BURGOS;PARTIDO POLITICO ESPERANZA DEMOCRATICA;1600,CHIQUINQUIRA;PAOLA JOHANNA HERNANDEZ BURGOS;PARTIDO POLÍTICO ESPERANZA DEMOCRÁTICA;1600,0.0,0.0
"CHIQUINQUIRA;PEDRO ALBERTO JURADO PENA;""PARTIDO ALIANZA SOCIAL INDEPENDIENTE """"ASI"""""";920","CHIQUINQUIRA;PEDRO ALBERTO JURADO PEÑA;""PARTIDO ALIANZA SOCIAL INDEPENDIENTE """"ASI"""""";920",0.0,0.0
CHIQUINQUIRA;VOTOS EN BLANCO;CANDIDATOS TOTALES;1026,CHIQUINQUIRA;VOTOS EN BLANCO;CANDIDATOS TOTALES;1026,0.0,0.0
CHIQUINQUIRA;VOTOS NO MARCADOS;CANDIDATOS TOTALES;373,CHIQUINQUIRA;VOTOS NO MARCADOS;CANDIDATOS TOTALES;373,0.0,0.0
CHIQUINQUIRA;VOTOS NULOS;CANDIDATOS TOTALES;531,CHIQUINQUIRA;VOTOS NULOS;CANDIDATOS TOTALES;531,0.0,0.0
CHIQUIZA;EDWIN AUGUSTO ALMANZA QUINTERO;PARTIDO CAMBIO RADICAL;1840,CHIQUIZA;EDWIN AUGUSTO ALMANZA QUINTERO;PARTIDO CAMBIO RADICAL;1840,0.0,0.0
CHIQUIZA;JOHN FREDY HERNANDEZ PACHECO;COALICION CHIQUIZA - SAN PEDRO DE IGUAQUE PROPOSITO DE TODOS;763,CHIQUIZA;JOHN FREDY HERNANDEZ PACHECO;COALICION CHIQUIZA - SAN PEDRO DE IGUAQUE PROPOSITO DE TODOS;763,0.0,0.0
CHIQUIZA;JOSUE GARCIA MOLINA;PARTIDO DE LA UNION POR LA GENTE - PARTIDO DE LA U;1523,CHIQUIZA;JOSUE GARCIA MOLINA;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;1523,0.0,0.0
CHIQUIZA;VOTOS EN BLANCO;CANDIDATOS TOTALES;19,CHIQUIZA;VOTOS EN BLANCO;CANDIDATOS TOTALES;19,0.0,0.0
CHIQUIZA;VOTOS NO MARCADOS;CANDIDATOS TOTALES;45,CHIQUIZA;VOTOS NO MARCADOS;CANDIDATOS TOTALES;45,0.0,0.0
CHIQUIZA;VOTOS NULOS;CANDIDATOS TOTALES;36,CHIQUIZA;VOTOS NULOS;CANDIDATOS TOTALES;36,0.0,0.0
CHISCAS;MELQUESIDEC DUARTE BARON;PARTIDO NUEVO LIBERALISMO;49,CHISCAS;MELQUESIDEC DUARTE BARON;PARTIDO NUEVO LIBERALISMO;49,0.0,0.0
CHISCAS;NAUN ESPINEL CUADROS;COALICION ALIANZA LIBERAL DE CENTRO DEMOCRATICO;935,CHISCAS;NAUN ESPINEL CUADROS;COALICION ALIANZA LIBERAL DE CENTRO DEMOCRATICO;935,0.0,0.0
