MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
GUICAN;RESULTADOS PARA BOYACA;535;1926;27.78
IZA;BOYACÁ GRANDE;528;1678;31.47
IZA;BOYACÁ SOMOS TODOS;113;1678;6.73
IZA;Creemos;2;1678;0.12
IZA;NO MAS;15;1678;0.89
IZA;NUEVA FUERZA DEMOCRÁTICA;12;1678;0.72
IZA;PACTO HISTÓRICO COLOMBIA PUEDE;161;1678;9.59
IZA;RESULTADOS PARA BOYACA;847;1678;50.48
JENESANO;BOYACÁ GRANDE;2869;4412;65.03
JENESANO;BOYACÁ SOMOS TODOS;200;4412;4.53
JENESANO;Creemos;5;4412;0.11
JENESANO;NO MAS;33;4412;0.75
JENESANO;NUEVA FUERZA DEMOCRÁTICA;28;4412;0.63
JENESANO;PACTO HISTÓRICO COLOMBIA PUEDE;256;4412;5.8
JENESANO;RESULTADOS PARA BOYACA;1021;4412;23.14
JERICO;BOYACÁ GRANDE;1216;2358;51.57
JERICO;BOYACÁ SOMOS TODOS;27;2358;1.15
JERICO;Creemos;3;2358;0.13
JERICO;NO MAS;5;2358;0.21
JERICO;NUEVA FUERZA DEMOCRÁTICA;4;2358;0.17
JERICO;PACTO HISTÓRICO COLOMBIA PUEDE;40;2358;1.7
JERICO;RESULTADOS PARA BOYACA;1063;2358;45.08
LA CAPILLA;BOYACÁ GRANDE;1148;1772;64.79
LA CAPILLA;BOYACÁ SOMOS TODOS;19;1772;1.07
LA CAPILLA;NO MAS;5;1772;0.28
LA CAPILLA;NUEVA FUERZA DEMOCRÁTICA;2;1772;0.11
LA CAPILLA;PACTO HISTÓRICO COLOMBIA PUEDE;53;1772;2.99
LA CAPILLA;RESULTADOS PARA BOYACA;545;1772;30.76
LA UVITA;BOYACÁ GRANDE;1009;1796;56.18
LA UVITA;BOYACÁ SOMOS TODOS;40;1796;2.23
LA UVITA;NO MAS;3;1796;0.17
LA UVITA;NUEVA FUERZA DEMOCRÁTICA;44;1796;2.45
LA UVITA;PACTO HISTÓRICO COLOMBIA PUEDE;72;1796;4.01
LA UVITA;RESULTADOS PARA BOYACA;628;1796;34.97
LA VICTORIA;BOYACÁ GRANDE;662;1203;55.03
LA VICTORIA;BOYACÁ SOMOS TODOS;1;1203;0.08
LA VICTORIA;NO MAS;1;1203;0.08
LA VICTORIA;NUEVA FUERZA DEMOCRÁTICA;7;1203;0.58
LA VICTORIA;PACTO HISTÓRICO COLOMBIA PUEDE;16;1203;1.33
LA VICTORIA;RESULTADOS PARA BOYACA;516;1203;42.89
LABRANZAGRANDE;BOYACÁ GRANDE;1530;2868;53.35
LABRANZAGRANDE;BOYACÁ SOMOS TODOS;14;2868;0.49
LABRANZAGRANDE;NO MAS;1;2868;0.03
LABRANZAGRANDE;NUEVA FUERZA DEMOCRÁTICA;2;2868;0.07
LABRANZAGRANDE;PACTO HISTÓRICO COLOMBIA PUEDE;33;2868;1.15
LABRANZAGRANDE;RESULTADOS PARA BOYACA;1288;2868;44.91
MACANAL;BOYACÁ GRANDE;1626;2550;63.76
MACANAL;BOYACÁ SOMOS TODOS;21;2550;0.82
MACANAL;NO MAS;16;2550;0.63
MACANAL;NUEVA FUERZA DEMOCRÁTICA;6;2550;0.24
MACANAL;PACTO HISTÓRICO COLOMBIA PUEDE;145;2550;5.69
MACANAL;RESULTADOS PARA BOYACA;736;2550;28.86
MARIPI;BOYACÁ GRANDE;2961;4020;73.66
MARIPI;BOYACÁ SOMOS TODOS;29;4020;0.72
MARIPI;Creemos;2;4020;0.05
MARIPI;NO MAS;17;4020;0.42
MARIPI;NUEVA FUERZA DEMOCRÁTICA;38;4020;0.95
MARIPI;PACTO HISTÓRICO COLOMBIA PUEDE;96;4020;2.39
MARIPI;RESULTADOS PARA BOYACA;877;4020;21.82
MIRAFLORES;BOYACÁ GRANDE;3668;5672;64.67
MIRAFLORES;BOYACÁ SOMOS TODOS;145;5672;2.56
MIRAFLORES;Creemos;3;5672;0.05
MIRAFLORES;NO MAS;33;5672;0.58
MIRAFLORES;NUEVA FUERZA DEMOCRÁTICA;28;5672;0.49
MIRAFLORES;PACTO HISTÓRICO COLOMBIA PUEDE;519;5672;9.15
MIRAFLORES;RESULTADOS PARA BOYACA;1276;5672;22.5
MONGUA;BOYACÁ GRANDE;1451;3189;45.5
MONGUA;BOYACÁ SOMOS TODOS;52;3189;1.63
MONGUA;Creemos;1;3189;0.03
MONGUA;NO MAS;18;3189;0.56
MONGUA;NUEVA FUERZA DEMOCRÁTICA;7;3189;0.22
MONGUA;PACTO HISTÓRICO COLOMBIA PUEDE;120;3189;3.76
MONGUA;RESULTADOS PARA BOYACA;1540;3189;48.29
MONGUI;BOYACÁ GRANDE;1362;2944;46.26
MONGUI;BOYACÁ SOMOS TODOS;138;2944;4.69
MONGUI;Creemos;2;2944;0.07
MONGUI;NO MAS;42;2944;1.43
MONGUI;NUEVA FUERZA DEMOCRÁTICA;16;2944;0.54
MONGUI;PACTO HISTÓRICO COLOMBIA PUEDE;316;2944;10.73
MONGUI;RESULTADOS PARA BOYACA;1068;2944;36.28
MONIQUIRA;BOYACÁ GRANDE;6682;12037;55.51
MONIQUIRA;BOYACÁ SOMOS TODOS;594;12037;4.93
MONIQUIRA;Creemos;12;12037;0.1
MONIQUIRA;NO MAS;95;12037;0.79
MONIQUIRA;NUEVA FUERZA DEMOCRÁTICA;42;12037;0.35
MONIQUIRA;PACTO HISTÓRICO COLOMBIA PUEDE;760;12037;6.31
MONIQUIRA;RESULTADOS PARA BOYACA;3852;12037;32.0
MOTAVITA;BOYACÁ GRANDE;2131;4660;45.73
MOTAVITA;BOYACÁ SOMOS TODOS;379;4660;8.13
MOTAVITA;Creemos;4;4660;0.09
MOTAVITA;NO MAS;42;4660;0.9
MOTAVITA;NUEVA FUERZA DEMOCRÁTICA;22;4660;0.47
MOTAVITA;PACTO HISTÓRICO COLOMBIA PUEDE;531;4660;11.39
MOTAVITA;RESULTADOS PARA BOYACA;1551;4660;33.28
MUZO;BOYACÁ GRANDE;3251;4954;65.62
MUZO;BOYACÁ SOMOS TODOS;52;4954;1.05
MUZO;Creemos;2;4954;0.04
MUZO;NO MAS;30;4954;0.61
MUZO;NUEVA FUERZA DEMOCRÁTICA;30;4954;0.61
MUZO;PACTO HISTÓRICO COLOMBIA PUEDE;950;4954;19.18
MUZO;RESULTADOS PARA BOYACA;639;4954;12.9
NOBSA;BOYACÁ GRANDE;3660;10207;35.86
NOBSA;BOYACÁ SOMOS TODOS;284;10207;2.78
NOBSA;Creemos;24;10207;0.24
NOBSA;NO MAS;122;10207;1.2
NOBSA;NUEVA FUERZA DEMOCRÁTICA;58;10207;0.57
NOBSA;PACTO HISTÓRICO COLOMBIA PUEDE;1342;10207;13.15
NOBSA;RESULTADOS PARA BOYACA;4717;10207;46.21
NUEVO COLON;BOYACÁ GRANDE;1994;3565;55.93
NUEVO COLON;BOYACÁ SOMOS TODOS;194;3565;5.44
NUEVO COLON;Creemos;2;3565;0.06
NUEVO COLON;NO MAS;21;3565;0.59
NUEVO COLON;NUEVA FUERZA DEMOCRÁTICA;29;3565;0.81
NUEVO COLON;PACTO HISTÓRICO COLOMBIA PUEDE;207;3565;5.81
NUEVO COLON;RESULTADOS PARA BOYACA;1118;3565;31.36
OICATA;BOYACÁ GRANDE;582;2276;25.57
OICATA;BOYACÁ SOMOS TODOS;224;2276;9.84
OICATA;Creemos;6;2276;0.26
OICATA;NO MAS;126;2276;5.54
OICATA;NUEVA FUERZA DEMOCRÁTICA;12;2276;0.53
OICATA;PACTO HISTÓRICO COLOMBIA PUEDE;251;2276;11.03
OICATA;RESULTADOS PARA BOYACA;1075;2276;47.23
OTANCHE;BOYACÁ GRANDE;2473;4589;53.89
OTANCHE;BOYACÁ SOMOS TODOS;502;4589;10.94
OTANCHE;Creemos;21;4589;0.46
OTANCHE;NO MAS;42;4589;0.92
OTANCHE;NUEVA FUERZA DEMOCRÁTICA;35;4589;0.76
OTANCHE;PACTO HISTÓRICO COLOMBIA PUEDE;84;4589;1.83
OTANCHE;RESULTADOS PARA BOYACA;1432;4589;31.21
PACHAVITA;BOYACÁ GRANDE;853;1485;57.44
PACHAVITA;BOYACÁ SOMOS TODOS;35;1485;2.36
PACHAVITA;Creemos;1;1485;0.07
PACHAVITA;NO MAS;6;1485;0.4
PACHAVITA;NUEVA FUERZA DEMOCRÁTICA;8;1485;0.54
PACHAVITA;PACTO HISTÓRICO COLOMBIA PUEDE;30;1485;2.02
PACHAVITA;RESULTADOS PARA BOYACA;552;1485;37.17
PAEZ;BOYACÁ GRANDE;1366;1828;74.73
PAEZ;BOYACÁ SOMOS TODOS;33;1828;1.81
PAEZ;NO MAS;5;1828;0.27
PAEZ;NUEVA FUERZA DEMOCRÁTICA;2;1828;0.11
PAEZ;PACTO HISTÓRICO COLOMBIA PUEDE;61;1828;3.34
PAEZ;RESULTADOS PARA BOYACA;361;1828;19.75
PAIPA;BOYACÁ GRANDE;5098;19005;26.82
PAIPA;BOYACÁ SOMOS TODOS;4491;19005;23.63
PAIPA;Creemos;120;19005;0.63
PAIPA;NO MAS;125;19005;0.66
PAIPA;NUEVA FUERZA DEMOCRÁTICA;74;19005;0.39
PAIPA;PACTO HISTÓRICO COLOMBIA PUEDE;1422;19005;7.48
PAIPA;RESULTADOS PARA BOYACA;7675;19005;40.38
