MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
COPER;JOSE AMBROSIO RONCANCIO;PARTIDO CENTRO DEMOCRATICO;571,COPER;JOSE AMBROSIO RONCANCIO;PARTIDO CENTRO DEMOCRATICO;571,0.0,0.0
COPER;RICARDO VALBUENA MORENO;PARTIDO ALIANZA VERDE;789,COPER;RICARDO VALBUENA MORENO;PARTIDO ALIANZA VERDE;789,0.0,0.0
CORRALES;PEDRO ANTONIO LOPEZ PRIETO;PARTIDO CONSERVADOR COLOMBIANO;1398,CORRALES;PEDRO ANTONIO LOPEZ PRIETO;PARTIDO CONSERVADOR COLOMBIANO;1398,0.0,0.0
COVARACHIA;CARLOS FRANCISCO GUALDRON GUALDRON;PARTIDO CENTRO DEMOCRATICO;2,COVARACHIA;CARLOS FRANCISCO GUALDRON GUALDRON;PARTIDO CENTRO DEMOCRATICO;2,0.0,0.0
COVARACHIA;LUIS ALFONSO CAMACHO TELLEZ;PARTIDO ALIANZA VERDE;794,COVARACHIA;LUIS ALFONSO CAMACHO TELLEZ;PARTIDO ALIANZA VERDE;794,0.0,0.0
COVARACHIA;OMAR ALBEIRO AGUILAR ALBARRACIN;PARTIDO CAMBIO RADICAL;16,COVARACHIA;OMAR ALBEIRO AGUILAR ALBARRACIN;PARTIDO CAMBIO RADICAL;16,0.0,0.0
COVARACHIA;WILSON ISAY MORENO VEGA;PARTIDO CONSERVADOR COLOMBIANO;1451,COVARACHIA;WILSON ISAY MORENO VEGA;PARTIDO CONSERVADOR COLOMBIANO;1451,0.0,0.0
CUBARA;AURA BENILDA TEGRIA CRISTANCHO;TODOS POR CUBARA;1169,CUBARA;AURA BENILDA TEGRIA CRISTANCHO;TODOS POR CUBARA;1169,0.0,0.0
CUBARA;GILDARDO MURCIA BUITRAGO;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;822,CUBARA;GILDARDO MURCIA BUITRAGO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;822,0.0,0.0
CUBARA;JESICA MARIBEL CONTRERAS BAUTISTA;PARTIDO CONSERVADOR COLOMBIANO;578,CUBARA;JESICA MARIBEL CONTRERAS BAUTISTA;PARTIDO CONSERVADOR COLOMBIANO;578,0.0,0.0
CUBARA;RAUL JIMENEZ MORENO;PARTIDO POLO DEMOCRATICO ALTERNATIVO;327,CUBARA;RAUL JIMENEZ MORENO;PARTIDO POLO DEMOCRATICO ALTERNATIVO;327,0.0,0.0
CUBARA;YEINER ARLEX SANTAMARIA MARTINEZ;PARTIDO CENTRO DEMOCRATICO;255,CUBARA;YEINER ARLEX SANTAMARIA MARTINEZ;PARTIDO CENTRO DEMOCRATICO;255,0.0,0.0
CUCAITA;ENID MARGARET OVALLE SALAZAR;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;386,CUCAITA;ENID MARGARET OVALLE SALAZAR;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;386,0.0,0.0
CUCAITA;FABIAN ANTONIO CASTELLANOS NINO;UNIDOS POR EL MEDIO AMBIENTE Y EL DESARROLLO DEL CAMPO;576,CUCAITA;FABIAN ANTONIO CASTELLANOS NIÑO;UNIDOS POR EL MEDIO AMBIENTE Y EL DESARROLLO DEL CAMPO;576,0.0,0.0
CUCAITA;JOSE ANTONIO SIERRA ALVARADO;CUCAITA CON VISION OBRAS Y DESARROLLO;39,CUCAITA;JOSE ANTONIO SIERRA ALVARADO;CUCAITA CON VISION OBRAS Y DESARROLLO;39,0.0,0.0
CUCAITA;JOSE MOISES CASTILLO DUARTE;PARTIDO CONSERVADOR COLOMBIANO;1004,CUCAITA;JOSE MOISES CASTILLO DUARTE;PARTIDO CONSERVADOR COLOMBIANO;1004,0.0,0.0
CUCAITA;MARCOS DANIEL BORDA PARRA;COLOMBIA HUMANA - UNION PATRIOTICA;632,CUCAITA;MARCOS DANIEL BORDA PARRA;COLOMBIA HUMANA - UNION PATRIOTICA;632,0.0,0.0
CUCAITA;NELSON ENRIQUE VARGAS GIL;PARTIDO LIBERAL COLOMBIANO;104,CUCAITA;NELSON ENRIQUE VARGAS GIL;PARTIDO LIBERAL COLOMBIANO;104,0.0,0.0
CUITIVA;DELCI DEL CARMEN URBANO;PARTIDO CENTRO DEMOCRATICO;216,CUITIVA;DELCI DEL CARMEN URBANO;PARTIDO CENTRO DEMOCRATICO;216,0.0,0.0
CUITIVA;DIRIER FABIAN CHAPARRO SUAREZ;PARTIDO CAMBIO RADICAL;57,CUITIVA;DIRIER FABIAN CHAPARRO SUAREZ;PARTIDO CAMBIO RADICAL;57,0.0,0.0
CUITIVA;JHON DARIO GUTIERREZ AMEZQUITA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;114,CUITIVA;JHON DARIO GUTIERREZ AMEZQUITA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;114,0.0,0.0
CUITIVA;SEGUNDO ALDEMAR TOCA SUAREZ;ALIANZA PARA EL DESARROLLO;1014,CUITIVA;SEGUNDO ALDEMAR TOCA SUAREZ;ALIANZA PARA EL DESARROLLO;1014,0.0,0.0
DUITAMA;CONSTANZA ISABEL RAMIREZ ACEVEDO;PARTIDO CAMBIO RADICAL;21208,DUITAMA;CONSTANZA ISABEL RAMIREZ ACEVEDO;PARTIDO CAMBIO RADICAL;21208,0.0,0.0
DUITAMA;EDGAR EYSENOBER BAEZ CONDE;PARTIDO CONSERVADOR COLOMBIANO;3768,DUITAMA;EDGAR EYSENOBER BAEZ CONDE;PARTIDO CONSERVADOR COLOMBIANO;3768,0.0,0.0
DUITAMA;FERNANDO ALFONSO BAYONA RINCON;COLOMBIA HUMANA - UNION PATRIOTICA;1981,DUITAMA;FERNANDO ALFONSO BAYONA RINCON;COLOMBIA HUMANA - UNION PATRIOTICA;1981,0.0,0.0
DUITAMA;GERMAN TIBERIO OJEDA PEDRAZA;SOMOS DUITAMA CIUDAD CREATIVA;10670,DUITAMA;GERMAN TIBERIO OJEDA PEDRAZA;SOMOS DUITAMA CIUDAD CREATIVA;10670,0.0,0.0
