MUNNOMBRE;PARNOMBRE;VOTOS
NUEVO COLON;Gran Consulta por Colombia;349
NUEVO COLON;Valientes;14
OICATA;Alianza Verde;19
OICATA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;93
OICATA;Con Toda por Colombia;123
OICATA;FRENTE POR LA VIDA;93
OICATA;Gran Consulta por Colombia;325
OICATA;Valientes;31
OTANCHE;Alianza Verde;22
OTANCHE;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;68
OTANCHE;Con Toda por Colombia;88
OTANCHE;FRENTE POR LA VIDA;107
OTANCHE;Gran Consulta por Colombia;1060
OTANCHE;Valientes;34
PACHAVITA;Alianza Verde;4
PACHAVITA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;28
PACHAVITA;Con Toda por Colombia;49
PACHAVITA;FRENTE POR LA VIDA;25
PACHAVITA;Gran Consulta por Colombia;325
PACHAVITA;Valientes;14
PAEZ;Alianza Verde;5
PAEZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;17
PAEZ;Con Toda por Colombia;28
PAEZ;FRENTE POR LA VIDA;23
PAEZ;Gran Consulta por Colombia;392
PAEZ;Valientes;11
PAIPA;Alianza Verde;177
PAIPA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;1092
PAIPA;Con Toda por Colombia;1635
PAIPA;FRENTE POR LA VIDA;429
PAIPA;Gran Consulta por Colombia;4014
PAIPA;Valientes;224
PAJARITO;Alianza Verde;2
PAJARITO;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;12
PAJARITO;Con Toda por Colombia;25
PAJARITO;FRENTE POR LA VIDA;8
PAJARITO;Gran Consulta por Colombia;223
PAJARITO;Valientes;11
PANQUEBA;Alianza Verde;20
PANQUEBA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;13
PANQUEBA;Con Toda por Colombia;35
PANQUEBA;FRENTE POR LA VIDA;9
PANQUEBA;Gran Consulta por Colombia;299
PANQUEBA;Valientes;7
PAUNA;Alianza Verde;9
PAUNA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;94
PAUNA;Con Toda por Colombia;139
PAUNA;FRENTE POR LA VIDA;66
PAUNA;Gran Consulta por Colombia;1136
PAUNA;Valientes;35
PAYA;Alianza Verde;1
PAYA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;14
PAYA;Con Toda por Colombia;16
PAYA;FRENTE POR LA VIDA;6
PAYA;Gran Consulta por Colombia;162
PAYA;Valientes;6
PAZ DE RIO;Alianza Verde;5
PAZ DE RIO;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;74
PAZ DE RIO;Con Toda por Colombia;117
PAZ DE RIO;FRENTE POR LA VIDA;80
PAZ DE RIO;Gran Consulta por Colombia;294
PAZ DE RIO;Valientes;7
PESCA;Alianza Verde;24
PESCA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;157
PESCA;Con Toda por Colombia;151
PESCA;FRENTE POR LA VIDA;56
PESCA;Gran Consulta por Colombia;741
PESCA;Valientes;72
PISBA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;12
PISBA;Con Toda por Colombia;6
PISBA;FRENTE POR LA VIDA;7
PISBA;Gran Consulta por Colombia;173
PISBA;Valientes;3
PUERTO BOYACA;Alianza Verde;99
PUERTO BOYACA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;698
PUERTO BOYACA;Con Toda por Colombia;605
PUERTO BOYACA;FRENTE POR LA VIDA;759
PUERTO BOYACA;Gran Consulta por Colombia;5163
PUERTO BOYACA;Valientes;283
QUIPAMA;Alianza Verde;6
QUIPAMA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;39
QUIPAMA;Con Toda por Colombia;47
QUIPAMA;FRENTE POR LA VIDA;45
QUIPAMA;Gran Consulta por Colombia;753
QUIPAMA;Valientes;30
RAMIRIQUI;Alianza Verde;52
RAMIRIQUI;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;187
RAMIRIQUI;Con Toda por Colombia;332
RAMIRIQUI;FRENTE POR LA VIDA;162
RAMIRIQUI;Gran Consulta por Colombia;1138
RAMIRIQUI;Valientes;136
RAQUIRA;Alianza Verde;15
RAQUIRA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;163
RAQUIRA;Con Toda por Colombia;109
RAQUIRA;FRENTE POR LA VIDA;59
RAQUIRA;Gran Consulta por Colombia;597
RAQUIRA;Valientes;70
RONDON;Alianza Verde;2
RONDON;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;22
RONDON;Con Toda por Colombia;42
RONDON;FRENTE POR LA VIDA;33
RONDON;Gran Consulta por Colombia;306
RONDON;Valientes;11
SABOYA;Alianza Verde;7
SABOYA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;135
SABOYA;Con Toda por Colombia;148
