MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
ALMEIDA;SANDRA LILIANA ORTIZ NOVA;PARTIDO ALIANZA VERDE;1,ALMEIDA;Sandra Liliana Ortiz Nova;PARTIDO ALIANZA VERDE;1,0.0,0.0
ALMEIDA;SEBASTIAN MARTINEZ LADINO;PARTIDO POLITICO MIRA;3,ALMEIDA;Sebastian Martinez Ladino;PARTIDO POLITICO MIRA;3,0.0,0.0
ALMEIDA;SEGUNDO SENEN NINO AVENDANO;PARTIDO POLO DEMOCRATICO ALTERNATIVO;3,ALMEIDA;Segundo Senen Nino Avendano;PARTIDO POLO DEMOCRATICO ALTERNATIVO;3,0.0,0.0
ALMEIDA;SOLEDAD TAMAYO TAMAYO;PARTIDO CONSERVADOR COLOMBIANO;4,ALMEIDA;Soledad Tamayo Tamayo;PARTIDO CONSERVADOR COLOMBIANO;4,0.0,0.0
ALMEIDA;VICTOR DEL CARMEN MONTENEGRO RUIZ;PARTIDO ALIANZA VERDE;1,ALMEIDA;Victor Del Carmen Montenegro Ruiz;PARTIDO ALIANZA VERDE;1,0.0,0.0
ALMEIDA;VOTOS EN BLANCO INDIGENAS;NAN;8,ALMEIDA;Votos En Blanco Indigenas;nan;8,0.0,0.0
"AQUITANIA;""COALICION LISTA DE LA DECENCIA (ASI;UP;MAIS)"";""COALICION LISTA DE LA DECENCIA (ASI;UP;MAIS)"";7","AQUITANIA;""Coalicion Lista De La Decencia (Asi;Up;Mais)"";""Coalicion Lista De La Decencia (Asi;Up;Mais)"";7",0.0,0.0
"AQUITANIA;""MOVIMIENTO TODOS SOMOS COLOMBIA """"TSC"""""";""MOVIMIENTO TODOS SOMOS COLOMBIA """"TSC"""""";5","AQUITANIA;""Movimiento Todos Somos Colombia """"Tsc"""""";""Movimiento Todos Somos Colombia """"Tsc"""""";5",0.0,0.0
AQUITANIA;ADRIANA PATRICIA VELEZ DUQUE;PARTIDO CAMBIO RADICAL;2,AQUITANIA;Adriana Patricia Velez Duque;PARTIDO CAMBIO RADICAL;2,0.0,0.0
AQUITANIA;AIDA MERLANO REBOLLEDO;PARTIDO CONSERVADOR COLOMBIANO;70,AQUITANIA;Aida Merlano Rebolledo;PARTIDO CONSERVADOR COLOMBIANO;70,0.0,0.0
"AQUITANIA;AIDA YOLANDA AVELLA ESQUIVEL;""COALICION LISTA DE LA DECENCIA (ASI;UP;MAIS)"";7","AQUITANIA;Aida Yolanda Avella Esquivel;""COALICION LISTA DE LA DECENCIA (ASI;UP;MAIS)"";7",0.0,0.0
AQUITANIA;AKEMI SOFIA RAVE HERNANDEZ;PARTIDO ALIANZA VERDE;2,AQUITANIA;Akemi Sofia Rave Hernandez;PARTIDO ALIANZA VERDE;2,0.0,0.0
AQUITANIA;ALEJANDRO CORRALES ESCOBAR;PARTIDO CENTRO DEMOCRATICO;1,AQUITANIA;Alejandro Corrales Escobar;PARTIDO CENTRO DEMOCRATICO;1,0.0,0.0
AQUITANIA;ALFONSO RAFAEL LEMAITRE SOLEIMAN;PARTIDO CAMBIO RADICAL;4,AQUITANIA;Alfonso Rafael Lemaitre Soleiman;PARTIDO CAMBIO RADICAL;4,0.0,0.0
AQUITANIA;ALFREDO GUILLERMO MOLINA TRIANA;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;1,AQUITANIA;Alfredo Guillermo Molina Triana;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;1,0.0,0.0
AQUITANIA;ALVARO URIBE VELEZ;PARTIDO CENTRO DEMOCRATICO;229,AQUITANIA;Alvaro Uribe Velez;PARTIDO CENTRO DEMOCRATICO;229,0.0,0.0
AQUITANIA;AMANDA ROCIO GONZALEZ RODRIGUEZ;PARTIDO CENTRO DEMOCRATICO;70,AQUITANIA;Amanda Rocio Gonzalez Rodriguez;PARTIDO CENTRO DEMOCRATICO;70,0.0,0.0
AQUITANIA;ANA DELTRUDIS BOHORQUEZ DE PINILLOS;PARTIDO CAMBIO RADICAL;5,AQUITANIA;Ana Deltrudis Bohorquez De Pinillos;PARTIDO CAMBIO RADICAL;5,0.0,0.0
AQUITANIA;ANA GLORIA CLAVIJO RISUENO;PARTIDO CONSERVADOR COLOMBIANO;1,AQUITANIA;Ana Gloria Clavijo Risueno;PARTIDO CONSERVADOR COLOMBIANO;1,0.0,0.0
AQUITANIA;ANA MARIA ABELLO RESTREPO;PARTIDO CENTRO DEMOCRATICO;2,AQUITANIA;Ana Maria Abello Restrepo;PARTIDO CENTRO DEMOCRATICO;2,0.0,0.0
AQUITANIA;ANA MARIA CASTANEDA GOMEZ;PARTIDO CAMBIO RADICAL;1,AQUITANIA;Ana Maria Castaneda Gomez;PARTIDO CAMBIO RADICAL;1,0.0,0.0
AQUITANIA;ANA PAOLA AGUDELO GARCIA;PARTIDO POLITICO MIRA;2,AQUITANIA;Ana Paola Agudelo Garcia;PARTIDO POLITICO MIRA;2,0.0,0.0
AQUITANIA;ANGEL CUSTODIO CABRERA BAEZ;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;5,AQUITANIA;Angel Custodio Cabrera Baez;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;5,0.0,0.0
AQUITANIA;ANGEL MARIA PRIETO MONCADA;PARTIDO CONSERVADOR COLOMBIANO;1,AQUITANIA;Angel Maria Prieto Moncada;PARTIDO CONSERVADOR COLOMBIANO;1,0.0,0.0
AQUITANIA;ANGELA MARIA ALZATE ZAPATA;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;2,AQUITANIA;Angela Maria Alzate Zapata;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;2,0.0,0.0
AQUITANIA;ANGELICA LISBETH LOZANO CORREA;PARTIDO ALIANZA VERDE;1,AQUITANIA;Angelica Lisbeth Lozano Correa;PARTIDO ALIANZA VERDE;1,0.0,0.0
AQUITANIA;ANGELICA MARIA GOMEZ BERNAL;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;1,AQUITANIA;Angelica Maria Gomez Bernal;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;1,0.0,0.0
AQUITANIA;ANTONIO DEL CRISTO GUERRA DE LA ESPRIELLA;PARTIDO CAMBIO RADICAL;7,AQUITANIA;Antonio Del Cristo Guerra De La Espriella;PARTIDO CAMBIO RADICAL;7,0.0,0.0
AQUITANIA;ANTONIO ERESMID SANGUINO PAEZ;PARTIDO ALIANZA VERDE;2,AQUITANIA;Antonio Eresmid Sanguino Paez;PARTIDO ALIANZA VERDE;2,0.0,0.0
AQUITANIA;ANTONIO LUIS ZABARAIN GUEVARA;PARTIDO CAMBIO RADICAL;23,AQUITANIA;Antonio Luis Zabarain Guevara;PARTIDO CAMBIO RADICAL;23,0.0,0.0
AQUITANIA;ANTONIO MARTIN ALMAZO ACOSTA;PARTIDO ALIANZA SOCIAL INDEPENDIENTE;1,AQUITANIA;Antonio Martin Almazo Acosta;PARTIDO ALIANZA SOCIAL INDEPENDIENTE;1,0.0,0.0
AQUITANIA;ARGEMIRO BURBANO ORTIZ;PARTIDO ALIANZA VERDE;7,AQUITANIA;Argemiro Burbano Ortiz;PARTIDO ALIANZA VERDE;7,0.0,0.0
AQUITANIA;ARIEL ANTONIO DURANGO RODRIGUEZ;PARTIDO CAMBIO RADICAL;1,AQUITANIA;Ariel Antonio Durango Rodriguez;PARTIDO CAMBIO RADICAL;1,0.0,0.0
AQUITANIA;ARLETH PATRICIA CASADO DE LOPEZ;PARTIDO LIBERAL COLOMBIANO;2,AQUITANIA;Arleth Patricia Casado De Lopez;PARTIDO LIBERAL COLOMBIANO;2,0.0,0.0
AQUITANIA;ARTURO CHAR CHALJUB;PARTIDO CAMBIO RADICAL;2,AQUITANIA;Arturo Char Chaljub;PARTIDO CAMBIO RADICAL;2,0.0,0.0
