MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
MOTAVITA;MERY MOZO FONSECA;CONSTRUYENDO PROGRESO PARA MOTAVITA;2449
MUZO;HUGO EDUBIN GARZON GOMEZ;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;155
MUZO;NEICER ALBEIRO SUSA SOTELO;PARTIDO CONSERVADOR COLOMBIANO - CAMBIO RADICAL - POLO DEMOCRATICO - PARTIDO DE LA U;2773
MUZO;RUBY MERY MURILLO NAVARRO;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;1969
NOBSA;ALFREDO HERNANDO NIÑO SIERRA;NOBSA UNIDA;4973
NOBSA;ALVARO ENRIQUE ACEVEDO MONROY;PARTIDO POLO DEMOCRATICO ALTERNATIVO;37
NOBSA;HELVER RICARDO GRANADOS GUAUQUE;COMPROMISO NOBLE POR TRABAJO Y BIENESTAR PARA TODOS;2509
NOBSA;JAIRO EDILBERTO TORRES TOBO;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;569
NOBSA;JUAN CAMILO CACERES MORENO;COALICION POR LA JUSTICIA Y LA DEMOCRACIA;1677
NUEVO COLON;HECTOR WILSON CASTELBLANCO RODRIGUEZ;PARTIDO ALIANZA VERDE;1392
NUEVO COLON;JUAN ELISEO CRUZ GARCIA;CREEMOS EN LA GENTE NUEVO COLON CON LIDERAZGO;860
NUEVO COLON;WILLINTON EDUARDO PULIDO IBAÑEZ;TODOS UNIDOS POR NUEVO COLON;1327
OICATA;ANGEL MARINO LANCHEROS RAMIREZ;PARTIDO ADA;35
OICATA;FREDY ALEXANDER GARZON ROJAS;OICATA CRECE EN BUENAS MANOS;913
OICATA;GERMAN JAVIER RIAÑO OCASION;PARTIDO COLOMBIA RENACIENTE;144
OICATA;NENDY JOSE FAGUA CAINA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;320
OICATA;NUBIA ESPERANZA AMEZQUITA QUINCHANEGUA;PARTIDO CONSERVADOR COLOMBIANO;93
OICATA;SILVESTRE GARCIA CRUZ;OICATA CON DESARROLLO;655
OTANCHE;ALVARO FORERO GALINDO;PARTIDO CONSERVADOR COLOMBIANO  - CAMBIO RADICAL;1222
OTANCHE;EVELIO PUENTES ROCHA;PARTIDO ALIANZA VERDE;1683
OTANCHE;WILIAR PEÑA SUATERNA;YO CREO EN OTANCHE;1584
PACHAVITA;FABIO ERNESTO HUERTAS LEGUIZAMON;PARTIDO CONSERVADOR COLOMBIANO;539
PACHAVITA;JOSE FERNANDO ROA ORJUELA;UNIDOS POR NUESTRA TIERRA;896
PACHAVITA;JOSE VICENTE ROJAS DIAZ;PARTIDO ADA;52
PAEZ;JOSE GILBERTO BUITRAGO BARRETO;PARTIDO CENTRO DEMOCRATICO;937
PAEZ;JUAN DIEGO MORALES CALDERON;ALCALDIA DE PAEZ;1086
PAIPA;FABIO ALBERTO MEDRANO REYES;EN PAIPA SOLO FALTA SUMERCE;9317
PAIPA;INGRID MARGARITA GALAN DIAZ;PAIPA HUMANO;51
PAIPA;ISMAEL MARIA SANDOVAL RODRIGUEZ;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;1079
PAIPA;JOSE MARIO DAZA HIGUERA;PAIPA IDEAL;8100
PAIPA;JOSE RAMIRO SIERRA ALVARADO;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;325
PAJARITO;GUILLERMO MONROY SANCHEZ;PARTIDO CAMBIO RADICAL;82
PAJARITO;JESUS NOE RIVEROS LOPEZ;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;693
PAJARITO;RENE GUSTAVO TEJEDOR LOPEZ;PARTIDO LIBERAL COLOMBIANO;490
PAJARITO;YEFER MIRANDA PLAZAS;PARTIDO CENTRO DEMOCRATICO;145
PANQUEBA;JORGE MARIO IBAÑEZ ARANGO;UNA NUEVA ESPERANZA PARA UN MUNICIPIO PROSPERO;779
PANQUEBA;NANCY MILENA VELANDIA LEAL;PARTIDO ALIANZA VERDE;418
PAUNA;HENRY IVAN MATALLANA TORRES;PARTIDO CENTRO DEMOCRATICO;2580
PAUNA;MARTIN EMILIO URBANO BARRERA;PARTIDO CONSERVADOR COLOMBIANO;225
PAUNA;OMAR CASALLAS SANCHEZ;ALCALDIA DE PAUNA BOYACA;1733
PAYA;BENJAMIN PEREZ CRISTANCHO;CONSTRUYENDO EL PAYA QUE TODOS QUEREMOS;826
PAYA;GILBERTO DAZA CARDONA;"""PAYA PRODUCTIVA Y SOSTENIBLE""";464
PAYA;ZULY JOHANA CRISTANCHO BAUTISTA;PARTIDO CONSERVADOR COLOMBIANO;25
PAZ DE RIO;EDWARD EDIXON ARCHILA GONZALEZ;PAZ DE RIO AVANZA;1466
PAZ DE RIO;EZEQUIEL JIMENEZ CELY;PARTIDO CAMBIO RADICAL;1444
