MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
FLORESTA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;289
FLORESTA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;11
FLORESTA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;23
FLORESTA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;2017
GACHANTIVA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;532
GACHANTIVA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;86
GACHANTIVA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;48
GACHANTIVA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1375
GAMEZA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;512
GAMEZA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;59
GAMEZA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;18
GAMEZA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;2353
GARAGOA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;1522
GARAGOA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;300
GARAGOA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;62
GARAGOA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;5209
GUACAMAYAS;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;313
GUACAMAYAS;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;21
GUACAMAYAS;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;5
GUACAMAYAS;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;773
GUATEQUE;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;1632
GUATEQUE;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;151
GUATEQUE;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;40
